"Smiles","Class_HH","Class_WL"
"CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2",1,
"CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2",1,
"[Cl-].COCC[Hg+]",1,
"CC([O]|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3)=O",,1
"[NH4+].C[P](O)(=O)CCC(N)C([O-])=O",0,
"OC(=O)CN(C[P](O)(O)=O)C[P](O)(O)=O",0,
"Oc1c(I)cc(cc1I)C#N",1,
"CBr",1,
"CCN(CC)C(=O)\C(Cl)=C(/C)O[P](=O)(OC)OC",1,
"[Na+].CNC([S-])=S",1,
"BrCCBr",1,
"OC(=O)CCCOc1ccc(Cl)cc1Cl",1,
"CO[P](=O)(NC(C)=O)SC",1,1
"CCNc1nc(Cl)nc(NC(C)(C)C#N)n1",1,
"CNC(=O)CS[P](=O)(OC)OC",1,
"CC[S](=O)CCS[P](=O)(OC)OC",0,
"CSc1nc(NC(C)C)nc(NC(C)C)n1",1,
"CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl",1,
"Oc1ccccc1c2ccccc2",1,1
"ClC(Cl)=C(Cl)Cl",1,
"Cc1cc(O)ccc1Cl",1,
"Cc1cc(Cl)ccc1O",1,
"CCCCC(CC)COC(=O)c1ccccc1C(O)=O",1,
"ClCC1CO1",1,
"CCOCN(C(=O)CCl)c1c(C)cccc1CC",1,
"CCC(C)N1C(=O)NC(=C(Br)C1=O)C",0,
"CCC(=O)Nc1ccc(Cl)c(Cl)c1",1,
"Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl",1,
"CCNc1nc(NC(C)(C)C)nc(SC)n1",1,
"Clc1cccc(Cl)c1Cl",1,
"CCOc1snc(n1)C(Cl)(Cl)Cl",1,
"ClC1(Cl)C2(Cl)C3C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl",1,
