Compound Id	ChiPath [VP-0]
4437893	9.952
6371	10.013
56778	12.056
3277	9.930
4526760	13.429
21568	10.812
96948	10.902
16415	12.056
193215	13.475
26325087	11.377
37779	12.056
56779	12.056
11274	8.812
35585	12.056
84344	12.056
56786	11.0
82797	13.784
5363	10.721
541032	9.864
31129	14.789
37749	12.450
56776	12.056
46264	11.0
83413	13.113
43354	12.056
457139	9.845
21429023	14.588
97055	10.902
4927801	26.612
34859	13.113
7260	10.053
19939	12.370
56756	13.113
4719431	13.072
102798	9.845
36976	13.113
45446	12.056
56767	13.113
8093	8.706
29631	12.856
34850	12.056
14348	12.761
559213	11.370
6453	9.492
84345	12.056
56766	13.113
102722	10.902
33281	11.0
1262	9.805
36975	12.056
154865	10.902
102741	10.902
26325082	33.427
32555	9.997
82740	13.113
215802	12.154
30459	15.371
23977588	13.964
4333	9.978
18941	11.928
97198	10.902
37019	13.113
82783	13.113
37000	13.113
39198	13.113
56765	13.113
46285	12.056
4938407	13.964
46284	12.056
82806	12.056
19722	14.592
34116	11.811
34668	12.056
34851	13.113
56773	12.056
82798	15.225
29282	11.928
47913	12.056
5772	14.588
28827	13.137
26915	13.749
6066	8.104
32952	12.056
48518	11.881
84347	13.113
75956	11.007
102857	10.902
43353	12.056
83414	14.169
2940	13.883
18445	12.707
25304	12.297
102787	10.902
18444	12.299
15010	10.333
82823	14.169
83411	9.776
102742	10.902
34190	13.113
56761	13.113
47914	13.113
102743	10.902
66326	13.078
56559	13.631
35529	13.572
36710	13.113
7991	12.790
33832	14.229
34852	13.113
2927	12.154
154866	10.902
35588	13.762
59833	12.772
12730	12.173
8243	13.599
15699	9.998
64559	11.827
56023	14.625
56782	14.169
549017	13.113
97240	10.902
33282	12.056
20545	13.832
36977	14.169
4066	12.309
2457	9.706
77706	12.163
4813314	13.406
56770	12.056
29847	13.011
56763	13.113
56757	13.113
102834	10.902
7928	13.468
4939096	13.964
36771	13.113
56764	13.113
9817	13.064
36978	13.113
34191	13.113
84348	14.169
45678	14.146
7929	14.728
82738	14.169
37994	12.013
106356	10.902
36979	14.169
10085	12.857
39407	14.853
11369	11.208
56762	13.113
37745	13.113
36981	14.169
56758	13.113
4744	10.571
36980	14.169
11359	13.267
6057	12.309
56775	12.056
6640	13.820
37004	14.169
4956170	12.426
34853	13.113
56783	14.169
4941232	13.598
82736	13.113
47915	14.169
4060	11.789
16139	12.825
2635909	11.620
15822	12.224
13338	14.372
12543	13.366
36983	14.169
96868	11.958
96864	11.958
56759	13.113
6058	13.456
36982	14.169
33983	13.113
36984	13.113
82831	14.446
45447	14.169
33407	15.226
2271976	12.591
4575338	11.990
24388	15.082
3171	16.751
12367	12.888
15637	15.226
82821	15.226
34860	14.169
11936	13.081
72522	14.175
82786	12.204
6542	14.527
97224	11.958
97234	11.958
5148	9.397
34854	13.113
3534	12.443
46137	14.169
12536	14.397
77887	13.689
6559	15.177
33984	13.113
26325084	41.243
11897	15.435
9242615	12.820
97233	11.958
26325083	37.335
46525	14.575
7988	12.464
46136	13.113
33142	13.596
33141	13.188
34418	12.903
5739	9.928
97142	11.958
2928	13.366
8817	9.928
36986	14.169
82834	13.927
47916	14.169
8078	14.049
4617	13.183
550258	14.169
35205	15.226
36985	15.226
46739	12.450
3326	13.567
35566	14.169
55075	11.750
2908	11.762
4913	11.854
4777	11.466
2181	12.874
6528	15.013
5557	12.898
97257	11.958
6639	14.784
33986	14.169
45448	15.226
33316	13.113
36988	15.226
105648	15.374
82679	13.735
35912	15.226
102923	11.958
8004	12.683
11898	14.882
36987	15.226
20390	9.812
3972	13.914
5590	14.974
11899	16.142
154958	13.483
3513	9.940
7970	13.735
154062	11.958
4629	14.859
36990	15.226
85876	14.728
26916	15.388
77764	13.793
33985	14.169
35108	14.169
82751	16.282
5660	12.062
36989	16.282
6519	14.168
11917	14.047
2925	11.372
16576	14.288
4447447	12.951
2284017	15.491
5554	12.179
39394	12.960
509179	12.830
77874	13.913
4444070	10.791
4228778	13.416
82822	15.226
43456	16.721
24247	15.725
4445165	17.142
34192	15.226
37764	17.526
2342810	15.098
2075	12.972
12017	16.849
6367	14.239
77933	13.909
2768	14.888
11283	11.502
5791	13.399
96965	13.015
33198	13.015
91304	16.128
35206	16.282
6281	15.232
82759	14.703
66316	14.775
154959	14.539
8804	10.928
8799	10.928
82870	16.512
5376	12.213
