Compound Id	ALOGP [ALogP]
106356	3.722
36979	5.210
10085	1.005
39407	3.687
11369	3.8
56762	4.466
37745	4.466
36981	5.210
56758	4.466
4744	-0.643
36980	5.210
11359	3.984
6057	2.654
56775	3.722
6640	5.086
37004	5.210
4956170	3.261
34853	4.466
56783	5.210
4941232	2.568
82736	4.466
47915	5.210
4060	0.569
16139	2.724
2635909	1.814
15822	3.568
13338	2.262
12543	3.143
36983	5.210
96868	4.466
96864	4.466
56759	4.466
6058	1.779
36982	5.210
33983	4.466
36984	4.466
82831	4.585
45447	5.210
33407	5.954
2271976	-1.551
4575338	-0.717
24388	4.285
3171	4.134
12367	0.810
15637	5.954
82821	5.954
34860	5.210
11936	3.341
72522	-5.293
82786	0.479
6542	4.751
97224	4.466
97234	4.466
5148	-1.096
34854	4.466
3534	-1.872
46137	5.210
12536	3.404
77887	0.995
6559	-1.496
33984	4.466
26325084	12.423
11897	-5.369
9242615	0.759
97233	4.466
26325083	11.411
46525	0.589
7988	-0.099
46136	4.466
33142	0.082
33141	-0.014
34418	0.471
5739	0.0
97142	4.466
2928	3.143
8817	0.0
36986	5.210
82834	1.269
47916	5.210
8078	1.160
4617	-1.683
550258	5.210
35205	5.954
36985	5.954
46739	-0.016
3326	2.180
35566	5.210
55075	2.635
2908	-0.096
4913	-2.303
4777	-1.010
2181	1.355
6528	-2.360
5557	-1.124
97257	4.466
6639	5.333
33986	5.210
45448	5.954
33316	4.466
36988	5.954
105648	4.263
82679	2.432
35912	5.954
