Compound Id	BCUT [BCUTp-1l]
31264	7.51924
14948	3.91639
62390	3.94641
12830	4.08146
14690	4.37553
60900	4.62434
2972	3.89587
11009	4.25292
11584	4.45399
8381	5.83971
58331	3.88145
13854242	4.54796
10897	5.64604
72141	4.69328
3637837	4.17078
63495	4.83842
73626	3.66344
72466	4.21923
13846663	4.78546
72148	4.79537
68265	4.07669
73512	4.50199
61199	3.60443
62698	4.03134
15093	3.91260
376	3.70729
15244	4.86370
10298355	4.48834
11484	6.00105
21106900	4.50287
1583	4.42021
50	3.68802
8127	4.52860
67229	3.93068
13846749	4.52860
61279	4.32569
15663	4.43022
9574	4.03655
9547	4.03096
284794	4.35806
5622	4.20897
9965	3.80557
7805	3.92592
6175	5.42775
7279	4.73679
11628	4.13069
63512	3.61497
121262	4.11111
13476	4.10656
222	4.17859
6032	3.98990
63328	4.16985
6658	6.84845
331	4.10115
6675	4.71771
14560	3.08909
20861	4.72187
7399	4.24043
7141	4.11046
79400	5.66090
6246	4.20562
10411	4.22236
15753	4.34898
11563	4.38003
62357	5.20367
7142	4.07174
8155	4.12574
68899	4.20194
21185	4.13028
11591	3.84677
12055	4.10609
61257	2.72669
6270	4.66849
7170	6.22806
452969	6.85148
452968	6.53697
7116	3.48772
6179	7.05768
72051	5.64485
13835108	4.18013
11424	6.67542
4436353	4.22798
6296	4.75881
15494	6.73517
9425	4.43416
14530	5.11744
21159425	4.54825
20124	6.91286
15488	6.28070
21171393	6.80137
29024	4.03596
64152	4.64194
7926	5.127
77127	7.54225
83365	3.44603
8277	4.09162
62583	3.98644
21106529	4.74146
7929	5.11735
11434	6.04235
62453	4.17013
61418	4.73646
1346	5.91382
63533	6.47937
60462	3.86689
63208	4.60759
12697	6.68708
1688	4.74576
60937	3.87919
68404	5.91437
21106540	6.74094
70085	4.53777
10237273	5.24601
14340	4.57324
7114	4.39636
68709	4.663
21106585	5.97609
55806	4.06989
2973	4.82552
13249	3.72167
7364	6.57679
6855	4.59974
13272	4.79787
6898	4.23564
66847	6.70275
15886	3.74178
12840	5.94257
38364	6.76052
14559	3.83506
12861	6.90472
6620	5.21071
1615	3.16533
63956	4.15109
27488	6.90507
61381	6.19439
71213	4.61520
71964	6.57829
15435	4.71065
13848793	3.97873
10446934	4.81487
61542	4.70912
6906	4.62655
6864	3.86970
15489	6.08344
13490	4.83335
61594	6.06954
23083	4.42704
70988	3.90413
78578	6.14731
11449	4.75922
14413	6.76142
6478	7.32116
15418	4.06163
54970	3.26663
61599	5.27521
6907	4.60719
25276	4.76259
21170959	4.98596
6222	5.086
11446	7.04682
7174	5.31137
63319	4.56172
8333	3.92657
79481	4.28186
60631	5.25971
61749	4.29824
1278	6.71296
91500	4.03056
8861	6.73881
28829	4.78215
8282	4.97597
11624	3.89674
15517	4.73786
18799	6.32878
68816	4.02521
11399	4.27812
4590	4.21388
62467	4.47434
8071	4.28684
62328	4.59659
1675	3.92374
10025	3.71402
84565	4.24087
11476	3.91145
13048	4.68340
29091	4.55350
62795	6.27303
71934	4.82417
7092	6.70909
6707	4.17974
531832	5.08192
434	4.16459
66572	3.83966
70021	4.74122
24438	3.62042
6824	5.03471
14869	4.93114
72291	5.64030
9929	4.19953
5584	4.14045
6854	4.14539
61739	4.94651
66716	3.93115
2632	4.36157
655	6.31534
34195	4.15574
8055	4.98530
8111	7.03620
84452	4.92424
5027	5.22550
5237	6.86948
13846015	2.83052
7069	4.38975
67479	4.34063
13882366	6.76730
7098	3.45099
2656	6.62711
61311	3.47055
21105876	6.51758
7097	3.48981
10287	6.69801
21159574	4.71092
22012	5.17422
29023	4.19315
66369	6.07633
7091	6.83768
13835351	3.31070
71995	3.73176
83338	5.12838
17879	5.11742
20971	7.41645
21112533	3.93043
76852	4.13844
61383	7.40735
16951	4.72344
11897	5.11736
9571	6.00135
7325	3.36448
12691	4.04594
11373	3.99374
61273	3.48541
10407	6.67608
70450	4.08280
10425	4.73417
10609	6.45950
2388	4.66585
70652	3.76611
21159598	4.45976
6716	5.49838
9961	6.54454
14582	6.24139
960	3.72170
11898	3.94567
11421	3.96254
21106172	5.69443
6575	5.94421
6916	4.64648
