Compound Id	ChiPath [SP-1]
10892	5.253
13849981	4.977
15093	5.182
206493	5.682
13842001	3.846
13854248	3.805
11961	4.609
6002	11.222
7480	3.894
21106058	16.763
13836399	3.914
5889	3.394
299166	4.698
6835	6.360
3534	10.186
5162	10.863
75662	17.890
21106365	6.933
499714	3.539
558917	5.164
11629	5.274
14627	5.377
512621	N/A
3693	9.092
5026296	4.983
13836021	2.414
1087	1.414
4514549	0.0
13302	6.651
256210	5.360
13849989	5.164
15016	9.414
13836591	2.914
2654	8.274
13856352	4.432
15520	16.581
3841535	9.092
18717	3.481
455353	4.414
16778	3.414
7705	3.270
7728	2.414
59447	3.394
7528	3.788
13835459	3.0
13848467	4.932
13869451	3.788
13871489	6.540
13869339	3.788
13860817	4.198
21111772	4.609
13853943	4.715
21106518	4.698
6658	5.016
11369	4.609
11180	2.943
11739	3.561
11056	3.061
6146	2.0
11194	3.504
6165	2.561
11216	3.621
62230	4.182
11210	3.682
11732	3.061
7459	3.308
11024	3.308
5830	4.432
57726	5.235
72556	5.432
11610	5.326
124	5.182
238	4.305
15803	5.109
7026	2.894
7678	3.394
9970	3.894
13837686	3.805
10008	3.394
6807	6.771
21108576	4.698
11488212	5.109
27749	7.041
3216	11.828
4470736	15.495
4343	13.184
8103122	11.294
3652	12.845
49179	14.101
5791	9.949
70660	5.310
15954	3.681
11819	3.626
7622	3.126
99440	3.417
11239	2.643
11543	3.681
10790	3.181
15486	5.308
18920	4.270
11861	4.770
123993	4.257
11036	3.808
11029	3.808
11794	3.270
10511	3.770
21011	2.770
11678	3.308
3644	1.732
6320	2.270
10947	2.808
10787	3.181
11793	3.270
7236	3.932
55443	5.932
453675	6.432
69340	5.432
10992	4.326
5439	2.770
71193	5.166
2700	10.559
10251740	3.805
7190	4.698
11525	2.808
4481813	1.914
13871721	2.414
6974	3.805
16804	5.464
11778	4.182
11954	4.626
13860720	4.198
76394	4.326
7131	4.305
13876103	5.774
13871718	4.932
4575338	10.126
2937774	5.736
206561	5.236
7310	5.826
5233	9.092
197564	11.760
193441	12.171
9579	4.698
7533	4.202
6164	2.561
56559	9.270
9053802	7.270
29000	2.770
7434	4.346
6312	2.270
8398	2.808
11898	10.414
72522	9.914
7928	9.414
14348	8.914
2581	8.414
11891	7.914
7917	7.414
7915	6.914
7901	6.414
7892	5.914
7882	5.414
8574	4.914
932	4.414
7812	3.414
7837	3.914
6040	2.914
258	2.414
1004	1.914
682	1.414
9391	2.943
63156	3.414
12626	2.914
60524	2.270
59674	2.914
10248	4.609
16119	4.626
12643	3.394
11752	2.770
21106900	5.647
15753	5.609
3210	7.558
392447	5.288
13854242	5.736
7600	5.455
13872989	1.914
62597	2.414
4937830	1.914
69177	5.037
10244	5.037
8733	2.414
7568	1.914
6633	4.215
12229	3.394
31006	11.631
13860434	5.274
5551	12.171
13866593	3.414
21106015	1.914
13839174	4.215
11021	4.326
8960	1.0
11465	5.343
4590	6.220
2157	6.109
11809	2.414
748	1.0
12823	4.326
10328	3.805
120621	3.126
12445	3.417
20119	3.270
6334	2.270
55205	3.770
13816	2.808
26765	3.308
192642	3.181
122446	3.481
21181	3.808
28994	1.914
11460	4.843
7145	4.698
6550	5.288
106796	10.465
5550	11.809
5633	12.369
13860335	3.932
24099	2.914
15702	7.304
10996	6.092
7279	5.698
5091	9.770
1262	8.113
880	4.788
13837702	2.914
21106535	2.808
12225	2.894
773	2.5
864	1.0
415	2.414
1141	3.788
1664	3.394
21361761	8.292
21105998	5.109
12640	2.894
6480	4.877
10437210	4.736
776	4.466
8273	6.326
7397	4.788
71787	3.664
4777	9.165
9219586	10.737
2457	8.771
1266393	3.270
7021	2.808
11694	3.808
11244	2.643
13850879	8.890
6600	6.771
62964	7.942
3322	9.787
13047	5.037
10438331	6.736
5976	4.182
13846959	4.698
6688	7.341
5542	13.526
19232037	14.064
19232038	15.064
18547147	15.564
21587143	16.564
11286	6.609
8070	4.715
55091	2.943
733	2.808
25472	6.503
18801	3.914
68156	3.414
10857	4.215
589165	4.788
6610	7.771
8470	6.092
953	4.698
6593	6.449
21105870	4.932
63889	3.788
123207	3.788
123	4.326
2241	4.305
62466	4.698
62485	4.698
63968	6.360
13839128	4.198
83866	3.805
18707	4.198
7961	2.561
4450907	10.126
10254	4.715
62467	4.698
5236	6.109
5660	9.593
305	5.776
3741	7.592
12244	4.609
13839151	4.215
13257	3.788
32555	9.062
13835336	1.914
13835861	2.561
73479	4.736
13839123	4.198
9911	4.609
13865680	4.343
11604	4.326
13835772	3.805
61538	4.626
194092	5.215
8528	3.788
3008	6.503
7140	4.698
4611	5.788
21105859	4.864
13846658	6.360
66567	4.5
8140	4.198
1019	2.5
67465	5.575
79280	5.826
5807	8.041
11595	5.609
2068	6.126
6646	4.629
7443	4.326
83850	3.805
12060	4.826
14678	5.326
61411	5.037
28982	4.326
6330	2.270
11795	3.270
173	1.732
67270	4.999
6033	4.999
7092	4.605
58563	4.698
