Compound Id	PetitjeanShapeIndex [topoShape]
9391	0.5
63156	1.0
12626	0.667
60524	0.5
59674	0.667
10248	0.667
16119	0.667
12643	0.333
11752	1.0
21106900	1.0
15753	1.0
3210	1.0
392447	0.75
13854242	1.0
7600	1.0
13872989	0.5
62597	1.0
4937830	0.5
69177	0.667
10244	0.667
8733	1.0
7568	0.5
6633	0.333
12229	0.333
31006	0.857
13860434	1.0
5551	1.0
13866593	1.0
21106015	0.5
13839174	0.333
11021	1.0
8960	0.0
11465	0.75
4590	0.8
2157	1.0
11809	1.0
748	0.0
12823	1.0
10328	0.333
120621	1.0
12445	1.0
20119	0.667
6334	0.5
55205	1.0
13816	1.0
26765	0.667
192642	1.0
122446	1.0
21181	1.0
28994	0.5
11460	1.0
7145	0.667
6550	0.667
106796	0.833
5550	1.0
5633	1.0
13860335	0.667
24099	0.667
15702	1.0
10996	0.75
7279	0.75
5091	1.0
1262	1.0
880	1.0
13837702	0.667
21106535	1.0
12225	0.5
773	0.0
864	0.0
415	1.0
1141	0.333
1664	0.333
21361761	1.0
21105998	1.0
12640	0.5
6480	0.667
10437210	1.0
776	0.333
8273	0.75
7397	1.0
71787	0.667
4777	0.833
9219586	1.0
2457	0.75
1266393	0.667
7021	1.0
11694	1.0
11244	0.5
13850879	1.0
6600	0.75
62964	0.5
3322	1.0
13047	0.667
10438331	0.75
5976	0.333
13846959	1.0
6688	0.5
5542	1.0
19232037	0.875
19232038	0.889
18547147	1.0
21587143	1.0
11286	1.0
8070	0.667
55091	0.5
733	1.0
25472	1.0
18801	0.75
68156	1.0
10857	0.333
589165	1.0
6610	0.8
8470	1.0
953	1.0
6593	0.5
21105870	0.75
63889	0.667
123207	0.667
123	1.0
2241	0.667
62466	0.667
62485	1.0
63968	1.0
13839128	0.667
83866	0.333
18707	0.667
7961	0.5
4450907	1.0
10254	0.667
62467	0.667
5236	1.0
5660	1.0
305	1.0
3741	1.0
12244	0.667
13839151	0.333
13257	0.667
32555	1.0
13835336	0.5
13835861	0.5
73479	1.0
13839123	0.667
9911	0.667
13865680	0.667
11604	0.667
13835772	0.333
61538	0.667
194092	1.0
8528	0.333
3008	1.0
7140	0.667
4611	1.0
21105859	0.75
13846658	1.0
66567	1.0
8140	0.667
1019	0.0
67465	1.0
79280	1.0
5807	0.8
11595	0.75
2068	0.25
6646	1.0
7443	1.0
83850	0.333
12060	0.75
14678	1.0
61411	0.667
28982	1.0
6330	0.5
