Compound Id	ALOGP [ALogP]
25552	-0.473
13865630	0.593
256210	-0.392
15702	0.675
589165	0.271
64699	0.656
5915	-0.628
764	-0.921
953	-0.990
2157	-0.321
3544	0.949
2038738	0.035
10710415	0.931
1348	0.115
13867714	0.0
59577	0.157
29107	-0.420
15517	-0.796
4103087	0.110
10996	0.321
194092	-0.340
7092	-0.936
13835224	-0.908
1078	-0.410
499714	0.456
11557190	6.352
970	0.0
24972	1.318
24535	1.075
8902	0.0
10437836	0.970
10437239	1.026
14627	-0.392
25472	0.963
8470	0.321
3210	3.572
76154	-0.732
13836591	-0.238
455353	-1.392
6658	-0.294
26325085	-2.685
124	-0.665
13662	0.268
62265	0.181
13836399	-1.104
16778	-0.816
7705	-0.539
11694	0.078
123207	0.497
67594	-0.747
992	-0.480
11930	-0.219
13644	-0.254
