Compound Id	BCUT [BCUTp-1l]
1020	5.7164
8141	4.0185
8186	4.4751
11600	3.5948
10169	6.7941
10343	3.7622
447	4.7194
12643	4.7507
13846658	4.7862
11596	4.0865
28973	4.6973
27296	4.6924
11651	4.6771
466305	4.1062
9218	4.1034
8183	3.6969
7189	4.4505
4878	4.6473
13848793	3.9787
21108577	4.3911
123	3.8098
26824	4.8804
7028	5.2655
7478	3.6426
62489	4.6295
21429023	7.2602
2275	3.2622
13835344	4.4535
11793	3.9530
13871721	3.8725
6164	4.2674
65785	4.0939
6674	4.4315
10616	3.8003
526	3.6375
11228	4.3263
7003	4.3834
21106520	5.6848
13874733	5.7265
6780	6.5654
8098	6.3720
70714	5.9655
28969	3.8820
7241	4.0572
6577	3.8066
9120	3.6405
13853758	5.5644
11525	4.6661
4481813	3.3339
13876103	4.8622
8058	4.8902
6593	6.9925
14672	4.6442
13850082	4.1413
63903	5.2769
17443	4.5243
62808	3.6724
6855	4.5997
13638	6.7369
18717	5.2105
15954	4.8175
7622	4.5817
7310	4.2699
63156	3.9242
12626	3.8955
28994	3.0764
61765	4.1874
10772140	3.5570
13860335	4.2675
10939	4.5142
3463	7.4592
7679	4.1999
6296	4.7588
5894	2.8572
11586	3.6551
1448	3.6836
217	2.2510
7459	4.1888
11024	4.0316
7026	4.4795
11239	4.5817
11861	4.5719
11036	4.8175
11029	4.8961
11794	4.5032
10511	4.5424
21011	4.4246
11678	4.7340
3644	3.9457
6320	4.2674
10947	4.5817
10787	4.7389
60524	3.6542
55091	4.8697
2606	5.0219
7208	4.0930
1446	4.1159
8520	4.8567
7626	5.3539
11526	3.3282
124968	3.4996
21105905	5.4059
21106560	5.4267
10437215	4.9791
2039535	4.8188
7161	4.9416
13885245	4.3536
62472	3.7166
7678	4.6613
11819	4.5817
99440	4.7389
123993	5.2105
12225	4.9972
693	2.7620
11080	4.7304
10197150	3.6975
13255	5.4148
83962	4.1117
13839199	5.6014
13634	5.4374
7221	5.4582
456015	6.3643
7030	3.2315
8860	6.9785
642951	3.9611
11773	4.2294
6898	4.2356
8262	3.7082
6089	3.4588
13835977	4.5262
7677	5.4794
60121	4.9118
21106518	4.5040
9970	4.8477
8273	3.5443
73479	3.4149
7443	3.3363
86394	4.3094
9454	3.8806
8282	4.9808
13856959	4.7512
6453	5.6122
78828	5.0314
62530	5.2369
7242	5.3562
65750	5.1645
24041	3.1520
5708	3.1716
23730	3.0144
23621376	2.8482
21111781	3.9117
7225	4.1197
21106470	6.3977
247721	4.0762
7029	3.6250
21106581	3.6576
11283	6.6369
156255	5.5650
13869480	4.7287
11488212	4.1368
10992	4.3522
62597	3.8380
4937830	3.3806
844	3.5054
21105870	4.1109
2005981	5.7336
199342	3.8936
6745	4.3536
6916	4.6465
11996	4.8790
55188	4.8026
11077	5.8352
7240	5.3668
66996	5.5466
25886	3.3710
12957	3.0930
19953955	2.8884
21943	3.1323
19956441	2.9084
19957731	2.9260
7636	3.3887
6146	4.5764
62230	5.3348
59674	3.8099
11021	4.3129
21106535	4.9310
10181339	3.8019
5596	4.8616
13849989	4.2030
132	4.0570
70715	6.2990
15855	4.9416
84036	3.2502
13328	7.0796
10784857	2.1304
