Compound Id	XLogP
3548	2.848
392	0.803
21108576	1.268
1151	-0.636
10628694	1.043
36975	5.240
56778	5.24
43354	5.240
37779	5.451
45445	5.24
36974	5.24
35585	5.24
34848	5.24
84344	5.451
34850	5.24
82819	5.451
56772	5.24
82820	5.24
16415	6.295
56779	5.24
56768	5.24
56777	5.240
84345	5.24
34668	5.24
16736486	4.355
8470	1.920
8111	7.814
10616	2.131
21106900	0.891
1577	-0.533
642951	2.337
12730	1.551
6835	5.207
13300034	4.305
96965	4.5
33198	4.5
82783	5.336
34852	5.336
37000	5.336
37019	5.336
56765	5.336
39198	5.336
82740	5.547
56761	5.336
56756	5.336
56766	5.336
83413	5.336
34851	5.336
36976	5.336
56767	5.336
56763	5.336
1143	-1.686
11460	2.456
11465	2.879
1448	2.465
5775	10.518
10254	2.261
10411	2.138
2241	1.938
62466	2.261
62485	2.261
7189	1.335
21106145	2.185
6658	1.203
11422351	1.526
25472	2.032
7150	0.323
32555	-0.861
13854242	1.747
10181338	1.589
1078	-0.71
56787	5.355
35583	5.144
82807	5.355
56794	5.144
33386	5.144
33457	6.199
47912	5.144
82817	5.355
46893	5.144
33280	5.144
35582	5.144
33304	5.144
46263	5.355
553171	0.226
10488	0.577
11488212	0.845
34667	5.259
34871	5.259
34873	5.259
56784	6.314
34872	5.259
970	7.814
556589	2.486
29153	8.336
11917	14.789
62467	1.401
3008	2.016
204209	4.966
10996	1.92
880	2.253
21106581	2.185
15827	4.596
70806	6.832
11369	3.735
4437893	7.133
5882	1.92
9824	4.845
12821	1.181
71193	1.481
67270	1.414
6033	1.414
7092	1.091
63968	3.869
2908	3.852
33407	5.528
36985	5.528
35205	5.528
15637	5.528
82821	5.528
8329	5.328
15753	2.477
17339596	-0.146
6371	4.939
10664	1.720
2625	4.457
4333	4.372
6593	4.078
86007	-0.918
13835344	1.854
76154	1.72
3534	3.538
7044	2.016
73390	0.373
7279	2.035
10343	2.577
185	-0.664
7155	1.807
16359	2.016
84971	-3.224
388391	-3.224
11773	1.703
11582	2.031
7172	2.57
96749	-3.325
2068	-0.435
5236	-0.767
21782117	3.005
2991	5.677
34853	5.336
37745	5.336
36978	5.336
34190	5.336
34191	5.336
36771	5.336
36710	5.336
56757	5.336
549017	5.547
84347	5.336
56764	5.336
56758	5.336
47914	5.336
