ID,InchiCode
[Omim][BF4]_12,"InChI=1S/C12H23N2.BF4/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;2-1(3,4)5/h10-12H,3-9H2,1-2H3;/q+1;-1"
[Omim][BF4]_13,"InChI=1S/C12H23N2.BF4/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;2-1(3,4)5/h10-12H,3-9H2,1-2H3;/q+1;-1"
[Omim][BF4]_14,"InChI=1S/C12H23N2.BF4/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;2-1(3,4)5/h10-12H,3-9H2,1-2H3;/q+1;-1"
[Omim][BF4]_15,"InChI=1S/C12H23N2.BF4/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;2-1(3,4)5/h10-12H,3-9H2,1-2H3;/q+1;-1"
[Dmim][BF4]_1,"InChI=1S/C14H27N2.BF4/c1-3-4-5-6-7-8-9-10-11-16-13-12-15(2)14-16;2-1(3,4)5/h12-14H,3-11H2,1-2H3;/q+1;-1"
[Dmim][BF4]_2,"InChI=1S/C14H27N2.BF4/c1-3-4-5-6-7-8-9-10-11-16-13-12-15(2)14-16;2-1(3,4)5/h12-14H,3-11H2,1-2H3;/q+1;-1"
[Dmim][BF4]_3,"InChI=1S/C14H27N2.BF4/c1-3-4-5-6-7-8-9-10-11-16-13-12-15(2)14-16;2-1(3,4)5/h12-14H,3-11H2,1-2H3;/q+1;-1"
[iBmim][BF4]_1,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_2,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_3,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_4,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_5,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_6,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_7,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_8,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_9,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[iBmim][BF4]_10,"InChI=1S/C8H15N2.BF4/c1-8(2)6-10-5-4-9(3)7-10;2-1(3,4)5/h4-5,7-8H,6H2,1-3H3;/q+1;-1"
[EOHmim][BF4]_1,"InChI=1S/C6H11N2O.BF4/c1-7-2-3-8(6-7)4-5-9;2-1(3,4)5/h2-3,6,9H,4-5H2,1H3;/q+1;-1"
[EOHmim][BF4]_2,"InChI=1S/C6H11N2O.BF4/c1-7-2-3-8(6-7)4-5-9;2-1(3,4)5/h2-3,6,9H,4-5H2,1H3;/q+1;-1"
[EOHmim][BF4]_3,"InChI=1S/C6H11N2O.BF4/c1-7-2-3-8(6-7)4-5-9;2-1(3,4)5/h2-3,6,9H,4-5H2,1H3;/q+1;-1"
[Bmim][OTf]_1,"InChI=1S/C8H15N2.CHF3O3S/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)8(5,6)7/h6-8H,3-5H2,1-2H3;(H,5,6,7)/q+1;/p-1"
[Bmim][OTf]_2,"InChI=1S/C8H15N2.CHF3O3S/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)8(5,6)7/h6-8H,3-5H2,1-2H3;(H,5,6,7)/q+1;/p-1"
[Bmim][OTf]_3,"InChI=1S/C8H15N2.CHF3O3S/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)8(5,6)7/h6-8H,3-5H2,1-2H3;(H,5,6,7)/q+1;/p-1"
[Bmim][OTf]_4,"InChI=1S/C8H15N2.CHF3O3S/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)8(5,6)7/h6-8H,3-5H2,1-2H3;(H,5,6,7)/q+1;/p-1"
[Bmim][OTf]_5,"InChI=1S/C8H15N2.CHF3O3S/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)8(5,6)7/h6-8H,3-5H2,1-2H3;(H,5,6,7)/q+1;/p-1"
[Bmim][OTf]_6,"InChI=1S/C8H15N2.CHF3O3S/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)8(5,6)7/h6-8H,3-5H2,1-2H3;(H,5,6,7)/q+1;/p-1"
[Bmim][OTf]_7,"InChI=1S/C8H15N2.CHF3O3S/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)8(5,6)7/h6-8H,3-5H2,1-2H3;(H,5,6,7)/q+1;/p-1"
